ID,Zodiacs,Colours,Numbers,Seasons,Music_Genres,Musical_instruments,Social_Media,Alignments,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,off_mbti
1,Cự giải (21/6 - 22/7),Xanh dương,7,Xuân,Rap,Đàn piano,Facebook,Nhân vật trung lập.,1,0,0,0,0,0,INFP
2,Bọ cạp (23/10 - 21/11),Xanh dương,1,Đông,Indie,Đàn piano,Facebook,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,INFJ
3,Cán cân công lý (23/9 - 22/10),Xanh dương,1,Xuân,Pop,Đàn piano,Instagram,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,ENFP
4,Bạch dương (21/3 - 19/4),Xanh dương,9,Đông,Rap,Đàn piano,Facebook,Không tuân theo các quy tắc.,1,0,0,0,0,1,INTP
5,Kim ngưu (20/4 - 20/5),Tím,5,Đông,Indie,Đàn piano,Facebook,Nhân vật trung lập.,0,0,1,1,0,0,INFP
6,Cự giải (21/6 - 22/7),Xanh lá,3,Thu,Indie,Guitar Acoustic,Facebook,Chuyên gây rối nhưng hướng thiện.,0,0,0,1,0,0,ENFP
7,Bảo bình (20/1 - 18/2),Hồng nhạt,1,Đông,Pop,Đàn piano,Facebook,Nhân vật trung lập.,0,0,1,0,0,0,ENFJ
8,Sư tử (23/7 - 22/8),Xanh dương,8,Hạ,Nhạc phim,Guitar Acoustic,Facebook,Cố gắng sống theo quy tắc cả chung và riêng bản thân.,1,1,0,1,1,0,INFJ
9,Cự giải (21/6 - 22/7),Trắng,7,Xuân,Rap,Ukulele,TikTok,Công lý là trên hết.,0,1,0,0,0,0,ISFP
10,Bảo bình (20/1 - 18/2),Xanh dương,9,Xuân,Lo-Fi,Sáo,Youtube,Công lý là trên hết.,1,0,0,0,0,0,INFP
11,Sư tử (23/7 - 22/8),Đen,7,Đông,Rap,Guitar Acoustic,Instagram,Không tuân theo các quy tắc.,1,0,0,0,0,0,INTP
12,Sư tử (23/7 - 22/8),Đen,1,Xuân,Pop,Đàn piano,Facebook,Công lý là trên hết.,1,1,0,0,0,1,ENFJ
13,Song ngư (19/2 - 20/3),Xanh dương,2,Đông,Pop,Đàn piano,Facebook,Nhân vật trung lập.,1,0,0,0,0,0,INFP
14,Cự giải (21/6 - 22/7),Đen,7,Thu,Pop,Đàn piano,Instagram,"Sống đúng luật, nhưng không gò bó.",1,1,1,1,0,1,INFP
15,Cán cân công lý (23/9 - 22/10),Xanh dương,6,Đông,Pop,Đàn piano,Youtube,Chuyên gây rối nhưng hướng thiện.,0,1,0,0,0,0,ENFP
